0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
108,108,108,139,139,133,128,108,128,107,100,88,106,131,106,131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141
108,108,139,139,133,128,108,128,107,100,88,106,131,106,131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156
108,139,139,133,128,108,128,107,100,88,106,131,106,131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156
139,139,133,128,108,128,107,100,88,106,131,106,131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152
139,133,128,108,128,107,100,88,106,131,106,131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95
133,128,108,128,107,100,88,106,131,106,131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95
128,108,128,107,100,88,106,131,106,131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91
108,128,107,100,88,106,131,106,131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95
128,107,100,88,106,131,106,131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95
107,100,88,106,131,106,131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91
100,88,106,131,106,131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59
88,106,131,106,131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5
106,131,106,131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141
131,106,131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57
106,131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25
131,137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25
137,131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91
131,137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25
137,88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25
88,88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92
88,88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25
88,100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25
100,88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91
88,137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25
137,131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25
131,106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92
106,137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25
137,131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25
131,106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25
106,99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25
99,87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57
87,136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91
136,88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25
88,149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25
149,137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116
137,131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92
131,137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25
137,131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25
131,137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91
137,88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25
88,100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25
100,88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25
88,100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25,92
100,107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25,92,25
107,132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25,92,25,25
132,107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25,92,25,25,91
107,132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25,92,25,25,91,25
132,138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25,92,25,25,91,25,25
138,89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25,92,25,25,91,25,25,92
89,138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25,92,25,25,91,25,25,92,25
138,132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25,92,25,25,91,25,25,92,25,25
132,131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25,92,25,25,91,25,25,92,25,25,91
131,107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25,92,25,25,91,25,25,92,25,25,91,25
107,100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25,92,25,25,91,25,25,92,25,25,91,25,25
100,88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25,92,25,25,91,25,25,92,25,25,91,25,25,92
88,131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25,92,25,25,91,25,25,92,25,25,91,25,25,92,25
131,137,100,94,94,24,91,155,155,94,94,116,116,91,94,94,91,116,116,122,122,91,116,116,91,122,122,145,145,91,122,122,91,145,145,95,95,91,156,156,152,145,145,141,156,156,152,95,95,91,95,95,91,59,5,141,57,25,25,91,25,25,92,25,25,91,25,25,92,25,25,25,25,57,91,25,25,116,92,25,25,91,25,25,25,92,25,25,91,25,25,92,25,25,91,25,25,92,25,25
